"time","P_vent","P_technique","P_room_heating","P_room_cooling","P_pump","P_lightnig","P_heating","P_all_power","E_lighting","Q_rate_equipment","Q_rate_people","P_condition_all","T_amb","T_rate","T_rate_room","T_room","der(T_amb)","der(T_room)","n_rate_equipment","n_rate_humidity","n_rate_people","temp_val"
108000,0.1202724883698592,0.03006812209246479,0.7852690109664451,0,0.112755457846743,0.8118392964965493,4.510218313869718,6.370422689641779,0.9020436627739435,3.006812209246479,12.02724883698592,0.7852690109664451,-10.22762355430745,2.505676841038732e-06,-0.04990937908539601,-8.115830396411328,2.505676841038732e-06,-0.04990937908539601,0.3006812209246479,0.001503406104623239,0.6013624418492958,0.003006812209246479
108017,0.1202724883698592,0.03006812209246479,0.7852690109664451,0,0.112755457846743,0.8118392964965493,4.510218313869718,6.370422689641779,0.9020436627739435,3.006812209246479,12.02724883698592,0.7852690109664451,-10.22758025621163,2.505676841038732e-06,-0.03189437650744444,-8.811022077803818,2.505676841038732e-06,-0.03189437650744444,0.3006812209246479,0.001503406104623239,0.6013624418492958,0.003006812209246479
108078,0.1202724883698592,0.03006812209246479,0.7852690109664451,0,0.112755457846743,0.8118392964965493,4.510218313869718,6.370422689641779,0.9020436627739435,3.006812209246479,12.02724883698592,0.7852690109664451,-10.22742871287629,2.505676841038732e-06,-0.006652222700928234,-9.785015734169548,2.505676841038732e-06,-0.006652222700928234,0.3006812209246479,0.001503406104623239,0.6013624418492958,0.003006812209246479
108138,0.1202724883698592,0.03006812209246479,0.7852690109664451,0,0.112755457846743,0.8118392964965493,4.510218313869718,6.370422689641779,0.9020436627739435,3.006812209246479,12.02724883698592,0.7852690109664451,-10.22727716954094,2.505676841038732e-06,-0.001386229458391173,-9.988089402050196,2.505676841038732e-06,-0.001386229458391173,0.3006812209246479,0.001503406104623239,0.6013624418492958,0.003006812209246479
108199,0.1202724883698592,0.03006812209246479,0.7852690109664451,0,0.112755457846743,0.8118392964965493,4.510218313869718,6.370422689641779,0.9020436627739435,3.006812209246479,12.02724883698592,0.7852690109664451,-10.2271256262056,2.505676841038732e-06,-0.0002873163127298636,-10.03034711483222,2.505676841038732e-06,-0.0002873163127298636,0.3006812209246479,0.001503406104623239,0.6013624418492958,0.003006812209246479
108259,0.1202724883698592,0.03006812209246479,0.7852690109664451,0,0.112755457846743,0.8118392964965493,4.510218313869718,6.370422689641779,0.9020436627739435,3.006812209246479,12.02724883698592,0.7852690109664451,-10.22697408287026,2.505676841038732e-06,-5.804514054609903e-05,-10.03904360457379,2.505676841038732e-06,-5.804514054609903e-05,0.3006812209246479,0.001503406104623239,0.6013624418492958,0.003006812209246479
108320,0.1202724883698592,0.03006812209246479,0.7852690109664451,0,0.112755457846743,0.8118392964965493,4.510218313869718,6.370422689641779,0.9020436627739435,3.006812209246479,12.02724883698592,0.7852690109664451,-10.22682253953491,2.505676841038732e-06,-1.02220371640026e-05,-10.04073765044416,2.505676841038732e-06,-1.02220371640026e-05,0.3006812209246479,0.001503406104623239,0.6013624418492958,0.003006812209246479
108380,0.1202724883698592,0.03006812209246479,0.7852690109664451,0,0.112755457846743,0.8118392964965493,4.510218313869718,6.370422689641779,0.9020436627739435,3.006812209246479,12.02724883698592,0.7852690109664451,-10.22667099619957,2.505676841038732e-06,-1.737056869083329e-07,-10.04097389231718,2.505676841038732e-06,-1.737056869083329e-07,0.3006812209246479,0.001503406104623239,0.6013624418492958,0.003006812209246479
108441,0.1202724883698592,0.03006812209246479,0.7852690109664451,0,0.112755457846743,0.8118392964965493,4.510218313869718,6.370422689641779,0.9020436627739435,3.006812209246479,12.02724883698592,0.7852690109664451,-10.22651945286422,2.505676841038732e-06,1.917145263133178e-06,-10.0409030391017,2.505676841038732e-06,1.917145263133178e-06,0.3006812209246479,0.001503406104623239,0.6013624418492958,0.003006812209246479
108501,0.1202724883698592,0.03006812209246479,0.7852690109664451,0,0.112755457846743,0.8118392964965493,4.510218313869718,6.370422689641779,0.9020436627739435,3.006812209246479,12.02724883698592,0.7852690109664451,-10.22636790952887,2.505676841038732e-06,2.370846075265699e-06,-10.04076900498809,2.505676841038732e-06,2.370846075265699e-06,0.3006812209246479,0.001503406104623239,0.6013624418492958,0.003006812209246479
108562,0.1202724883698592,0.03006812209246479,0.7852690109664451,0,0.112755457846743,0.8118392964965493,4.510218313869718,6.370422689641779,0.9020436627739435,3.006812209246479,12.02724883698592,0.7852690109664451,-10.22621636619353,2.505676841038732e-06,2.482955402384977e-06,-10.0406217881759,2.505676841038732e-06,2.482955402384977e-06,0.3006812209246479,0.001503406104623239,0.6013624418492958,0.003006812209246479
108622,0.1202724883698592,0.03006812209246479,0.7852690109664451,0,0.112755457846743,0.8118392964965493,4.510218313869718,6.370422689641779,0.9020436627739435,3.006812209246479,12.02724883698592,0.7852690109664451,-10.22606482285818,2.505676841038732e-06,2.510992737920958e-06,-10.04047132685741,2.505676841038732e-06,2.510992737920958e-06,0.3006812209246479,0.001503406104623239,0.6013624418492958,0.003006812209246479
108683,0.1202724883698592,0.03006812209246479,0.7852690109664451,0,0.112755457846743,0.8118392964965493,4.510218313869718,6.370422689641779,0.9020436627739435,3.006812209246479,12.02724883698592,0.7852690109664451,-10.22591327952284,2.505676841038732e-06,2.510601536108904e-06,-10.0403197684248,2.505676841038732e-06,2.510601536108904e-06,0.3006812209246479,0.001503406104623239,0.6013624418492958,0.003006812209246479
108743,0.1202724883698592,0.03006812209246479,0.7852690109664451,0,0.112755457846743,0.8118392964965493,4.510218313869718,6.370422689641779,0.9020436627739435,3.006812209246479,12.02724883698592,0.7852690109664451,-10.22576173618749,2.505676841038732e-06,2.508112134987694e-06,-10.04016812901849,2.505676841038732e-06,2.508112134987694e-06,0.3006812209246479,0.001503406104623239,0.6013624418492958,0.003006812209246479
108804,0.1202724883698592,0.03006812209246479,0.7852690109664451,0,0.112755457846743,0.8118392964965493,4.510218313869718,6.370422689641779,0.9020436627739435,3.006812209246479,12.02724883698592,0.7852690109664451,-10.22561019285214,2.505676841038732e-06,2.507050697197259e-06,-10.04001654472013,2.505676841038732e-06,2.507050697197259e-06,0.3006812209246479,0.001503406104623239,0.6013624418492958,0.003006812209246479
108864,0.1202724883698592,0.03006812209246479,0.7852690109664451,0,0.112755457846743,0.8118392964965493,4.510218313869718,6.370422689641779,0.9020436627739435,3.006812209246479,12.02724883698592,0.7852690109664451,-10.2254586495168,2.505676841038732e-06,2.506725433519097e-06,-10.03986498883221,2.505676841038732e-06,2.506725433519097e-06,0.3006812209246479,0.001503406104623239,0.6013624418492958,0.003006812209246479
108924,0.1202724883698592,0.03006812209246479,0.7852690109664451,0,0.112755457846743,0.8118392964965493,4.510218313869718,6.370422689641779,0.9020436627739435,3.006812209246479,12.02724883698592,0.7852690109664451,-10.22530710618145,2.505676841038732e-06,2.506400169840935e-06,-10.03971343294429,2.505676841038732e-06,2.506400169840935e-06,0.3006812209246479,0.001503406104623239,0.6013624418492958,0.003006812209246479
108985,0.1202724883698592,0.03006812209246479,0.7852690109664451,0,0.112755457846743,0.8118392964965493,4.510218313869718,6.370422689641779,0.9020436627739435,3.006812209246479,12.02724883698592,0.7852690109664451,-10.2251555628461,2.505676841038732e-06,2.506074906116744e-06,-10.03956187705637,2.505676841038732e-06,2.506074906116744e-06,0.3006812209246479,0.001503406104623239,0.6013624418492958,0.003006812209246479
109045,0.1202724883698592,0.03006812209246479,0.7852690109664451,0,0.112755457846743,0.8118392964965493,4.510218313869718,6.370422689641779,0.9020436627739435,3.006812209246479,12.02724883698592,0.7852690109664451,-10.22500401951076,2.505676841038732e-06,2.505874971980793e-06,-10.03941032600516,2.505676841038732e-06,2.505874971980793e-06,0.3006812209246479,0.001503406104623239,0.6013624418492958,0.003006812209246479
109106,0.1202724883698592,0.03006812209246479,0.7852690109664451,0,0.112755457846743,0.8118392964965493,4.510218313869718,6.370422689641779,0.9020436627739435,3.006812209246479,12.02724883698592,0.7852690109664451,-10.22485247617541,2.505676841038732e-06,2.505852237310557e-06,-10.03925878179244,2.505676841038732e-06,2.505852237310557e-06,0.3006812209246479,0.001503406104623239,0.6013624418492958,0.003006812209246479
